Station,Camera,CameraName,Species,TrapAndCamera,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
CT2,7, CT2,Canis lupus,CT2_7,2021-12-12 09:33:58,2021-12-12,09:33:58,1752796,29213,486.9,20.3,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/ef,ef6b2ded-f4fb-48e5-ab7b-f702671a8644.jpg
CT2,7, CT2,Canis lupus,CT2_7,2021-12-12 09:33:58,2021-12-12,09:33:58,1752796,29213,486.9,20.3,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/ef,ef6b2ded-f4fb-48e5-ab7b-f702671a8644.jpg
CT2,7, CT2,Sciurus sp,CT2_7,2021-12-12 13:53:24,2021-12-12,13:53:24,185535,3092,51.5,2.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/fd,fd691579-2937-40bf-8b75-2921d35fa5e4.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-12 16:55:05,2021-12-12,16:55:05,175100,2918,48.6,2.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/71,71547185-9d54-49b5-8ecb-2bcb8bb0dd37.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-12 16:55:05,2021-12-12,16:55:05,175100,2918,48.6,2.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/71,71547185-9d54-49b5-8ecb-2bcb8bb0dd37.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-12 16:55:05,2021-12-12,16:55:05,175100,2918,48.6,2.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/71,71547185-9d54-49b5-8ecb-2bcb8bb0dd37.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-12 16:55:05,2021-12-12,16:55:05,175100,2918,48.6,2.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/71,71547185-9d54-49b5-8ecb-2bcb8bb0dd37.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-12 16:55:05,2021-12-12,16:55:05,175100,2918,48.6,2.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/71,71547185-9d54-49b5-8ecb-2bcb8bb0dd37.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-12 16:55:05,2021-12-12,16:55:05,175100,2918,48.6,2.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/71,71547185-9d54-49b5-8ecb-2bcb8bb0dd37.jpg
CT2,7, CT2,Urocyon cinereoargenteus,CT2_7,2021-12-13 05:42:52,2021-12-13,05:42:52,366669,6111,101.9,4.2,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/62,62e35307-31bb-4ace-a403-115b0741dd70.jpg
